Timestamp,AAPL_ESG_Score,AMZN_ESG_Score,NKE_ESG_Score,PFE_ESG_Score,TSLA_ESG_Score,XOM_ESG_Score
1409529600,61,57.27272727,60.625,68,56,60.43661972
1412121600,60,57.35714286,60.625,67,56,60.21126761
1414800000,61,57.35714286,60.625,68,56,60.71830986
1417392000,61,57.26785714,60.625,68,56,61.22535211
1420070400,61,57.25,60.75,69,56,61.6056338
1422748800,61,57.5,60.83333333,69,56,61.74647887
1425168000,63,57.78571429,60.70833333,68,56,61.3943662
1427846400,63,57.92857143,60.75,68,56,61.69014085
1430438400,63,57.92857143,60.91666667,68,56,61.74647887
1433116800,63,57.83928571,60.5,68,56,61.84507042
1435708800,63,57.57894737,60.45833333,68,56,61.84507042
1438387200,64,57.73684211,60.33333333,68,56,62.25352113
1441065600,64,57.71929825,60.54166667,68,56,62.33802817
1443657600,63,57.72881356,60.375,67,56,62.4084507
1446336000,62,57.66101695,60.625,67,56,62.43661972
1448928000,62,57.91525424,61.125,66,56,62.58333333
1451606400,62.36,57.89559322,61.20583333,65.95,56.38,62.64402778
1454284800,62.36,57.86915254,61.24666667,65.95,56.98,62.72902778
1456790400,62.36,57.79966102,61.245,64.75,56.98,62.90027778
1459468800,62.33,56.23898305,59.61083333,63.63,57.22,63.15458333
1462060800,62.33,56.16,59.61083333,63.63,57.22,63.24791667
1464739200,62.33,56.12016949,59.62666667,63.63,57.22,63.29277778
1467331200,62.33,55.9179661,59.59458333,63.63,57.22,63.26458333
1470009600,62.33,55.9320339,59.71458333,63.16,56.61,63.31597222
1472688000,62.33,55.88559322,59.70708333,63.16,56.61,63.35458333
1475280000,62.33,55.64583333,59.70708333,63.16,56.61,63.0990411
1477958400,67.36,55.6275,60.32541667,63.16,56.04,63.34205479
1480550400,67.36,55.59733333,60.48208333,63.16,56.04,63.30753425
1483228800,67.28,55.79316667,61.185,65.12,56.04,63.38972603
1485907200,67.28,55.79316667,61.185,65.12,56.04,63.36767123
1488326400,67.28,55.28435484,61.08125,65.12,56.04,63.59890411
1491004800,67.28,55.10935484,60.64416667,65.12,54.63,63.61520548
1493596800,67.28,54.90241935,60.86333333,64.71,54.63,63.74861111
1496275200,67.19,54.90241935,60.86333333,64.71,54.63,63.65916667
1498867200,67.28,54.83951613,60.86333333,64.71,54.63,63.69069444
1501545600,67.19,55.15596774,60.81833333,64.71,54.63,63.81680556
1504224000,67.19,55.01290323,61.59,64.71,53.5,63.825
1506816000,67.4,54.6283871,60.86458333,64.16,54.15,63.08333333
1509494400,67.4,54.69416667,61.0825,64.16,54.15,63.04097222
